id,Date,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,JPM,META,V,PG,NVDA,HD,CVX,LLY,MA,ABBV,PFE,MRK,PEP,BAC,KO,COST,AVGO,TMO,WMT,CSCO,MCD,ACN,ABT,DIS,DHR,WFC,BMY,LIN,NEE,TXN,ADBE,VZ,CMCSA,PM,COP,AMGN,RTX,HON,CRM
195,9/16/2019,132.0881653,90.39199829,16.18733215,61.58150101,61.56499863,223.7006378,119.0374985,61.13044357,107.8714142,186.2200012,172.3692322,110.5289307,44.86394119,214.2529144,106.6821442,104.3191833,269.372406,60.5408287,30.99181747,70.90943909,123.1593704,27.98099899,48.76229858,274.403656,256.913269,293.3623657,110.0829086,45.15408707,192.2565918,185.4220581,79.16584778,134.9912415,138.9242706,44.95786667,44.73931122,179.1543274,51.07416916,117.5887222,282.9299927,51.1721344,43.10635376,60.3367157,55.29468918,176.4111938,80.19116211,155.6820984,153.0099945
196,9/17/2019,133.1151733,91.12750244,16.31933212,61.49399948,61.45750046,221.8780518,119.1569748,60.6661377,107.3373108,188.0800018,172.7019958,111.8303604,45.07804871,213.5294189,106.4844589,105.256958,271.505127,61.41573715,30.71413422,71.32435608,123.9080811,27.80455208,49.01532745,276.9890137,257.0645752,290.7598572,110.9782715,44.65699005,194.5277405,186.1764984,79.37477875,135.4981995,140.5836639,44.75593567,44.98349762,182.6894989,51.98892212,118.6880341,284.6900024,51.49032974,43.47899628,59.85467911,54.13626099,178.8108368,79.68591309,155.916275,152.8200073
197,9/18/2019,134.2100372,90.8730011,16.23266792,61.63249969,61.62049866,220.0554504,119.8369598,60.37595367,108.4145813,188.1399994,171.5666809,112.0611191,44.8066864,214.1045074,106.7337341,106.772522,270.3749084,61.13267899,30.61315536,71.76522827,123.7254639,27.86027527,49.00629044,277.9585571,256.0944519,292.9947815,111.5974121,44.59371567,195.0653839,185.3934174,79.43173218,135.9852753,142.1837616,44.91197586,45.09202576,183.0886536,52.38195038,118.4590149,279.7200012,51.54193878,43.7305336,59.47238541,53.06627655,177.2837524,79.94725037,157.3306122,152.7700043
198,9/19/2019,136.6806946,91.07499695,16.44000053,61.9375,61.9355011,222.1929474,119.5612869,59.96968842,108.0705795,190.1399994,172.2224121,112.5133667,44.04987717,211.5908508,106.2867584,108.3165283,271.1710205,61.47577286,30.72255516,72.58644104,123.7072296,27.69311142,49.26835632,273.5861206,258.6754761,293.2829285,111.5497894,44.45815277,195.148819,185.9091034,79.04237366,132.5061188,143.9617004,44.89362335,45.28194046,184.5901489,52.61590958,118.01931,281.2600098,51.58493805,43.4883194,59.59706116,53.03090286,177.8382263,79.87174988,156.2065887,153.6000061
199,9/20/2019,135.1014099,89.70800018,16.04133224,61.49200058,61.49649811,222.2311249,120.9764481,59.76240921,107.636055,189.9299927,170.3627625,112.8272018,42.99182129,208.3908539,106.8540421,110.031044,266.5123901,62.09337616,30.87401772,73.61510468,123.0041351,27.47951317,48.71710968,272.1889954,255.3251953,294.3555908,111.4259567,44.82871246,194.1013184,184.4002228,79.37477875,131.482254,144.6728363,44.63660812,45.73413467,184.466629,52.80775452,116.0405502,277.9100037,51.85155106,43.19019699,59.17319107,53.78255463,179.0108337,78.73345947,157.6490479,155.1999969
200,9/23/2019,134.8107452,89.26499939,16.08200073,61.73450089,61.70149994,218.2996979,121.0591354,59.80386353,107.6179428,186.8200073,171.1947479,113.7317276,43.52706909,209.8563843,107.352562,108.1555099,268.458374,62.55656815,30.49535179,72.9235611,123.6706772,27.41450691,48.92494965,273.3390198,256.4030457,288.5148621,112.0355759,44.66602707,196.0943146,184.1614838,78.97589111,131.6711273,142.8258057,44.93951035,45.68890762,183.9059296,52.7048111,117.0482483,277.4400024,51.78274536,43.05976486,59.83805084,53.21659851,179.7561493,78.79155731,156.5531769,154.6499939
201,9/24/2019,133.1055145,87.08049774,14.88066673,60.91650009,60.93799973,214.7022095,120.8845291,58.98303604,106.2147903,181.2799988,170.7738495,114.0916977,42.95198059,209.0772095,106.3555374,107.274559,266.4632568,62.57370758,30.3018055,72.26657867,123.5976334,26.87587738,49.06954193,273.6622314,253.5736237,283.2601318,112.7785263,44.39488983,196.5393219,181.5829773,78.29212189,131.1840363,142.776413,44.65496445,45.22767258,182.005249,53.46047592,115.2527161,272.4700012,52.04076385,42.5846405,60.45477676,52.43841934,178.656311,78.68119049,155.2605896,152.0500031
202,9/25/2019,135.0238953,88.41649628,15.24666691,62.29700089,62.32600021,212.0017242,120.369957,59.15715408,106.8213043,182.8000031,171.5568848,113.5471191,44.37102127,211.5723114,106.1578598,105.5127106,268.0652161,61.83603668,30.2092495,71.83436584,123.3510971,27.16376305,48.95206833,274.2325134,247.6993866,280.4489441,112.8452225,44.83774567,197.1047668,182.2801514,78.69099426,132.2973633,142.1837616,45.21486664,45.07394028,182.6990204,53.6616745,117.020752,277.4299927,51.83434677,42.69644165,63.59746933,52.59759903,178.2109222,79.46522522,156.3564606,152.9900055
203,9/26/2019,135.198288,86.99199677,16.17066765,62.11449814,62.06949997,205.6179199,118.4034424,58.84209061,105.9431992,180.1100006,171.9189911,114.7377853,44.14944458,213.1398621,103.2785034,105.9200287,269.1856689,63.50009918,30.10826492,72.50862885,123.9263611,27.0523262,49.15087128,273.9949036,248.7233429,284.9388733,112.6832886,44.1327858,197.0769348,183.4738922,78.50104523,130.4882202,141.1750946,44.85689545,45.19150543,182.7465668,54.21146393,117.359726,283.8099976,51.98055649,41.83002853,63.60593414,51.00587845,177.592804,79.87174988,156.450119,152.3399963
204,9/27/2019,133.4445953,86.27249908,16.1420002,61.29750061,61.25450134,205.4079742,118.1737289,59.26493835,106.5678406,177.1000061,170.3040771,114.9777603,42.76028061,213.2047882,101.9376526,106.4410019,264.5074158,64.20346832,30.47852516,71.67012787,123.8167648,27.25663376,49.07858658,271.7992249,246.2353058,285.48526,112.8261719,44.14181519,197.5960693,182.7671509,77.72231293,129.1860199,139.9884186,46.54580688,45.41759491,182.033783,54.10384369,116.4711151,277.5400085,51.86014938,41.74617767,63.47074509,51.20041275,177.1928864,79.20968628,157.3961334,148.2599945
